query_id,group_id,length,stage,family,source,delay_s,mode,method,accepted_present,accepted_absent,correct_singleton,source_covered,absent_false_accept,joint_best,joint_account_set
e08_query_a_exact,e08,4,core,exact,a,16,intact,accounts,"[""e08_reference_a""]",[],true,true,false,true,true
e08_query_a_exact,e08,4,core,exact,a,16,intact,old07,"[""e08_reference_a""]",[],true,true,false,,
e08_query_a_exact,e08,4,core,exact,a,16,intact,count,[],[],false,false,false,,
e08_query_a_exact,e08,4,core,exact,a,16,intact,envelope,"[""e08_reference_a""]",[],true,true,false,,
e08_query_a_transpose,e08,4,core,transpose,a,16,intact,accounts,"[""e08_reference_a""]",[],true,true,false,true,true
e08_query_a_transpose,e08,4,core,transpose,a,16,intact,old07,"[""e08_reference_a""]",[],true,true,false,,
e08_query_a_transpose,e08,4,core,transpose,a,16,intact,count,[],[],false,false,false,,
e08_query_a_transpose,e08,4,core,transpose,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_detune,e08,4,core,detune,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_detune,e08,4,core,detune,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_detune,e08,4,core,detune,a,16,intact,count,[],[],false,false,false,,
e08_query_a_detune,e08,4,core,detune,a,16,intact,envelope,"[""e08_reference_a""]",[],true,true,false,,
e08_query_a_timing,e08,4,core,timing,a,16,intact,accounts,"[""e08_reference_a""]",[],true,true,false,true,true
e08_query_a_timing,e08,4,core,timing,a,16,intact,old07,"[""e08_reference_a""]",[],true,true,false,,
e08_query_a_timing,e08,4,core,timing,a,16,intact,count,[],[],false,false,false,,
e08_query_a_timing,e08,4,core,timing,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_delete_rest,e08,4,core,delete_rest,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_delete_rest,e08,4,core,delete_rest,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_delete_rest,e08,4,core,delete_rest,a,16,intact,count,[],[],false,false,false,,
e08_query_a_delete_rest,e08,4,core,delete_rest,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_delete_closed,e08,4,core,delete_closed,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_delete_closed,e08,4,core,delete_closed,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_delete_closed,e08,4,core,delete_closed,a,16,intact,count,[],[],false,false,false,,
e08_query_a_delete_closed,e08,4,core,delete_closed,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_delete_two,e08,4,core,delete_two,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_delete_two,e08,4,core,delete_two,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_delete_two,e08,4,core,delete_two,a,16,intact,count,[],[],false,false,false,,
e08_query_a_delete_two,e08,4,core,delete_two,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_substitute,e08,4,core,substitute,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_substitute,e08,4,core,substitute,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_substitute,e08,4,core,substitute,a,16,intact,count,[],[],false,false,false,,
e08_query_a_substitute,e08,4,core,substitute,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_insert,e08,4,core,insert,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_insert,e08,4,core,insert,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_insert,e08,4,core,insert,a,16,intact,count,[],[],false,false,false,,
e08_query_a_insert,e08,4,core,insert,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_delete_insert,e08,4,core,delete_insert,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_delete_insert,e08,4,core,delete_insert,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_delete_insert,e08,4,core,delete_insert,a,16,intact,count,[],[],false,false,false,,
e08_query_a_delete_insert,e08,4,core,delete_insert,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_weak_present,e08,4,core,weak_present,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_weak_present,e08,4,core,weak_present,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_weak_present,e08,4,core,weak_present,a,16,intact,count,[],[],false,false,false,,
e08_query_a_weak_present,e08,4,core,weak_present,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_mask_present,e08,4,core,mask_present,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_mask_present,e08,4,core,mask_present,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_mask_present,e08,4,core,mask_present,a,16,intact,count,[],[],false,false,false,,
e08_query_a_mask_present,e08,4,core,mask_present,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_mask_absent,e08,4,core,mask_absent,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_mask_absent,e08,4,core,mask_absent,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_mask_absent,e08,4,core,mask_absent,a,16,intact,count,[],[],false,false,false,,
e08_query_a_mask_absent,e08,4,core,mask_absent,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_merged,e08,4,core,merged,a,16,intact,accounts,[],[],false,false,false,false,false
e08_query_a_merged,e08,4,core,merged,a,16,intact,old07,[],[],false,false,false,,
e08_query_a_merged,e08,4,core,merged,a,16,intact,count,[],[],false,false,false,,
e08_query_a_merged,e08,4,core,merged,a,16,intact,envelope,[],[],false,false,false,,
e08_query_a_legitimate_rest,e08,4,core,legitimate_rest,a,16,intact,accounts,"[""e08_reference_a""]",[],true,true,false,true,true
e08_query_a_legitimate_rest,e08,4,core,legitimate_rest,a,16,intact,old07,[],[],false,false,false,,
