query_id,group_id,length,family,true_reference,maximum_pair_n,available_pair_n,raw_cached_query_event_n,saved_eligible_query_event_n,query_events_outside_saved_eligible_set,excluded_event_pitch_spans_cents,pairs_best_acoustic_fields_equal,pairs_best_matched_fields_equal,pairs_missing_anchor_regions_different,pairs_global_transform_different,true_saved_path_count,candidate_saved_path_count_total,source_margin,frozen_outcome
e08_query_a_delete_two,e08,4,delete_two,e08_reference_a,5,5,2,2,[],[],0,0,5,5,1,5,-2.5971884056580468,none
e08_query_a_merged,e08,4,merged,e08_reference_a,6,6,3,2,[1],[832.4884643554688],0,1,4,5,1,8,-3.431084153481123,none
e08_query_b_delete_two,e08,4,delete_two,e08_reference_b,5,5,2,2,[],[],0,0,4,5,1,6,-2.5971884056580468,none
e08_query_b_merged,e08,4,merged,e08_reference_b,5,5,3,2,[1],[402.60980224609375],0,0,5,5,1,5,-3.431084153481123,none
e12_query_a_delete_two,e12,4,delete_two,e12_reference_a,4,4,2,2,[],[],0,0,3,4,1,6,-2.5971884056580468,none
e12_query_a_merged,e12,4,merged,e12_reference_a,5,5,3,2,[1],[304.3305969238281],0,0,5,5,2,9,-3.431084153481123,none
e12_query_b_merged,e12,4,merged,e12_reference_b,3,3,3,2,[1],[826.055908203125],0,1,2,2,1,4,-3.431084153481123,none
e14_query_a_merged,e14,8,merged,e14_reference_a,1,1,7,6,[3],[1154.69091796875],0,0,0,0,1,1,-1.7127181666950495,none
e16_query_a_delete_two,e16,4,delete_two,e16_reference_a,4,4,2,2,[],[],0,0,4,4,2,10,-2.5971884056580468,none
e16_query_a_merged,e16,4,merged,e16_reference_a,3,3,3,2,[1],[502.533447265625],0,0,3,3,1,6,-3.431084153481123,none
e16_query_b_delete_two,e16,4,delete_two,e16_reference_b,3,3,2,2,[],[],0,0,3,3,1,3,-2.5971884056580468,none
e16_query_b_merged,e16,4,merged,e16_reference_b,4,4,3,2,[1],[300.8268127441406],0,0,4,4,2,9,-3.431084153481123,none
e20_query_a_delete_two,e20,4,delete_two,e20_reference_a,4,4,2,2,[],[],0,1,3,3,1,4,-2.5971884056580468,none
e20_query_a_merged,e20,4,merged,e20_reference_a,5,5,3,2,[1],[400.6823425292969],0,1,4,4,1,5,-3.431084153481123,none
e20_query_b_delete_two,e20,4,delete_two,e20_reference_b,5,5,2,2,[],[],0,0,5,5,1,5,-2.5971884056580468,none
e20_query_b_merged,e20,4,merged,e20_reference_b,5,5,3,2,[1],[401.4507751464844],0,1,4,4,1,5,-3.431084153481123,none
e21_query_a_merged,e21,6,merged,e21_reference_a,1,1,5,4,[2],[434.8379821777344],0,1,0,0,1,1,-2.1530328971958337,none
