query_id,event_index,assessment,trajectory,local_limitation,unmeasured,assessment_method
e08_query_a_merged,1,ordered_structure_visible,"Earlier about 426 Hz; later about 269 Hz, with visible later jitter.",Later cached pitch ranges roughly 265–275 Hz around a spectral peak near 268 Hz.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e08_query_b_merged,1,ordered_structure_visible,Earlier about 268 Hz; later about 338 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e12_query_a_merged,1,ordered_structure_visible,Earlier about 285 Hz; later about 240 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e12_query_b_merged,1,ordered_structure_visible,"Earlier about 380 Hz; later about 240 Hz, with visible later jitter.",Later cached pitch is visibly jittery; no smoothing or corrective estimate is supplied.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e14_query_a_merged,3,ordered_structure_visible,Earlier spectral peak near 217 Hz with cached pitch wandering about 210–243 Hz; later both near 409 Hz.,Phase-refined flags are true for some disagreeing samples. They do not establish an accurate fundamental.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e16_query_a_merged,1,ordered_structure_visible,Earlier about 321 Hz; later about 428 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e16_query_b_merged,1,ordered_structure_visible,Earlier about 428 Hz; later about 360 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e20_query_a_merged,1,ordered_structure_visible,Earlier about 400 Hz; later about 504 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e20_query_b_merged,1,ordered_structure_visible,Earlier about 504 Hz; later about 400 Hz.,Finite observations are separated by missing pitch samples; no transition path is measured.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
e21_query_a_merged,2,ordered_structure_visible,Earlier spectral peak near 267 Hz while phase-refined cached pitch is about 524–557 Hz; later both approach 673 Hz.,The roughly twofold disagreement is retained unresolved; early unrefined samples are near 267 Hz. No octave correction or channel choice.,"Pitch and spectral peak are NaN at frame orders 0, 18, 19 and 37; physical fundamental, subframe changes, perceptual identity and causal explanation are not established.","Manual descriptive inspection of saved frame tables and scatter plots; no fitted segmentation, clustering, classifier or memory agreement score."
