query_id,reference_id,path_index,used_for_support,role,matched_pairs,missing_reference,inserted_query,cost,global_pitch_shift,timing_scale,timing_offset_s,pitch_residuals,timing_residuals_s,matched_reference_pitch_intervals,matched_reference_onset_intervals_s,matched_query_pitch_intervals,matched_query_onset_intervals_s,mean_pitch_loss,mean_timing_loss,acoustic_signature_sha256
e08_query_a_delete_two,e08_distractor_0,0,True,maximum_candidate,"[[0,0],[2,1]]","[1,3]",[],0.35,0.0,0.5,0.06700000166893005,"[0.0,0.0]","[0.0,0.0]",[6.000065803527832],[0.32999998331069946],[6.000065803527832],[0.16499999165534973],0.0,0.0,0a24c2ff3e976f311035fbcd3a059fb7014877f961f5bcc397dc083b32123170
e08_query_a_delete_two,e08_distractor_1,0,True,maximum_candidate,"[[2,0],[3,1]]","[0,1]",[],0.35,0.0,0.9999998193798878,-0.3299998995029698,"[0.0,0.0]","[0.0,0.0]",[6.000065803527832],[0.16500002145767212],[6.000065803527832],[0.16499999165534973],0.0,0.0,93a43f0656bbff002360448092b79178fbfac6383a3ea59cc967eeb1f3487da6
e08_query_a_delete_two,e08_distractor_2,0,True,maximum_candidate,"[[1,0],[3,1]]","[0,2]",[],0.35,0.0,0.4999999548449679,-0.015499980657390444,"[0.0,0.0]","[0.0,0.0]",[6.000065803527832],[0.33000001311302185],[6.000065803527832],[0.16499999165534973],0.0,0.0,e879130ed8aef1b8a37788cf04ade9f4e07fb951daf4d51acdffbc9acd7800d9
e08_query_a_delete_two,e08_distractor_3,0,True,maximum_candidate,"[[1,0],[2,1]]","[0,3]",[],0.35,0.0,1.0,-0.16499999165534973,"[0.0,0.0]","[0.0,0.0]",[6.000065803527832],[0.16499999165534973],[6.000065803527832],[0.16499999165534973],0.0,0.0,6be05882990361fe1afd87d777b228dd1fcb2bd41d7507014d60fabb7c39a918
e08_query_a_delete_two,e08_reference_a,0,True,true_source,"[[0,0],[1,1]]","[2,3]",[],0.35,0.0,1.0,0.0,"[0.0,0.0]","[0.0,0.0]",[6.000065803527832],[0.16499999165534973],[6.000065803527832],[0.16499999165534973],0.0,0.0,16577daabe97bd106bd0b75735b8010d94c23fb7a8c73fcef3799418cdd4ed71
e08_query_a_delete_two,e08_reference_b,0,True,maximum_candidate,"[[0,0],[3,1]]","[1,2]",[],0.35,0.0,0.33333331326442955,0.08933333824780659,"[0.0,0.0]","[-1.3877787807814457e-17,0.0]",[6.000065803527832],[0.4950000047683716],[6.000065803527832],[0.16499999165534973],0.0,0.0,f2cb1e3b71d400d256d2d20339b18abc038b0cd7c6251d4f56f33d61ed73828f
e08_query_a_merged,e08_distractor_0,0,True,maximum_candidate,"[[0,0],[3,2]]","[1,2]",[],0.35,0.0,1.0,0.0,"[0.0,0.0]","[0.0,0.0]",[2.0001535415649414],[0.4950000047683716],[2.0001535415649414],[0.4950000047683716],0.0,0.0,be2c83e4fc1720737f8f62c9854b446bfb7b8f97d1e50124cfb41741ebc5f687
e08_query_a_merged,e08_distractor_1,0,True,maximum_candidate,"[[1,0],[2,2]]","[0,3]",[],0.35,2.000075340270996,3.0000001806201446,-0.7630000356471918,"[-7.82012939453125e-05,7.82012939453125e-05]","[0.0,0.0]",[1.9999971389770508],[0.16499999165534973],[2.0001535415649414],[0.4950000047683716],0.0,0.0,3ab6a2cbff7ce88a4a8dd5aba7745c524d48c36c305a186791906fa002204c54
e08_query_a_merged,e08_distractor_2,0,True,maximum_candidate,"[[1,0],[2,2]]","[0,3]",[],0.35,0.0,3.0000001806201446,-0.7630000356471918,"[0.0,0.0]","[0.0,0.0]",[2.0001535415649414],[0.16499999165534973],[2.0001535415649414],[0.4950000047683716],0.0,0.0,80c2e33198870b9c31c7958131b2ff8c514bb5b8c7fa80f92cf0836176fe95d7
e08_query_a_merged,e08_distractor_2,1,False,maximum_candidate,"[[0,0],[1,2]]","[2,3]",[],0.35,2.000075340270996,3.0000001806201446,-0.2680000308788202,"[-7.82012939453125e-05,7.82012939453125e-05]","[0.0,0.0]",[1.9999971389770508],[0.16499999165534973],[2.0001535415649414],[0.4950000047683716],0.0,0.0,50700118f19735c838649b02089d264a827dcf8d16b8c4affdd7224cd84417fb
