query_id,group_id,length,family,true_reference,true_available,alternate_reference,alternate_reference_is_exact_max,exact_absent_max_ids,exact_absent_max_n,score_near_absent_max_ids,score_near_absent_max_n,true_score,absent_max_score,true_margin,absent_margin,true_minus_absent_max,true_vs_absent_max_score_near,present_outcome,accepted_present,accepted_absent,absent_false_accept,unavailable_pair_n,pair_n_all_12_equal,any_all_12_equal,all_all_12_equal,pair_n_only_cost_timing_differ,any_only_cost_timing_differ,all_only_cost_timing_differ,pair_n_other_differences,any_other_differences,all_other_differences,pair_n_unavailable,any_unavailable,all_unavailable,any_ten_equal,all_ten_equal
e08_query_a_delete_closed,e08,4,delete_closed,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,3.500269951299029,3.500425487205315,-0.1261431689375314,-0.1259876330312455,-0.00015553590628591962,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_detune,e08,4,delete_detune,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,-1.3197730202976592,-1.320014100897727,-4.94618614053422,-4.946427221134288,0.0002410806000678889,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_insert,e08,4,delete_insert,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,-0.2654208755846863,-0.2656619561847551,-3.891833995821247,-3.8920750764213157,0.00024108060006877707,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_rest,e08,4,delete_rest,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,3.500425487205315,3.500184406605247,-0.1259876330312455,-0.12622871363131338,0.0002410806000678889,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_timing,e08,4,delete_timing,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,3.5003943800119517,3.500114415433159,-0.1260187402246089,-0.12629870480340166,0.0002799645787927574,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_transpose,e08,4,delete_transpose,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,3.500425487205315,3.500184406605247,-0.1259876330312455,-0.12622871363131338,0.0002410806000678889,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_delete_two,e08,4,delete_two,e08_reference_a,True,e08_reference_b,True,"[""e08_reference_b"",""e08_distractor_0"",""e08_distractor_1"",""e08_distractor_2"",""e08_distractor_3""]",5,"[""e08_reference_b"",""e08_distractor_0"",""e08_distractor_1"",""e08_distractor_2"",""e08_distractor_3""]",5,1.0292247145785138,1.0292247145785138,-2.5971884056580468,-2.5971884056580468,0.0,True,none,[],[],False,0,5,True,True,0,False,False,0,False,False,0,False,False,True,True
e08_query_a_detune,e08,4,detune,e08_reference_a,True,e08_reference_b,True,"[""e08_reference_b""]",1,"[""e08_reference_b"",""e08_distractor_3""]",2,2.393528024442783,-5.085860463664553,-1.2328850957937778,-8.712273583901114,7.479388488107336,False,none,[],[],False,0,0,False,False,0,False,False,1,True,True,0,False,False,False,False
e08_query_a_exact,e08,4,exact,e08_reference_a,True,e08_reference_b,True,"[""e08_reference_b""]",1,"[""e08_reference_b"",""e08_distractor_3""]",2,6.0087259840931635,-0.26566195616157895,2.382312863856603,-3.8920750763981395,6.2743879402547424,False,true_singleton,"[""e08_reference_a""]",[],False,0,0,False,False,0,False,False,1,True,True,0,False,False,False,False
e08_query_a_insert,e08,4,insert,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_4"",""e08_distractor_5""]",2,"[""e08_distractor_4"",""e08_distractor_5""]",2,2.9900383294495674,-2.601282999493752,-0.6363747907869932,-6.227696119730313,5.5913213289433195,False,none,[],[],False,0,0,False,False,0,False,False,2,True,True,0,False,False,False,False
e08_query_a_legitimate_rest,e08,4,legitimate_rest,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_reference_b"",""e08_distractor_3""]",2,6.0085967453421505,-0.26578638486303063,2.38218362510559,-3.8921995050995912,6.274383130205181,False,true_singleton,"[""e08_reference_a""]",[],False,0,0,False,False,0,False,False,1,True,True,0,False,False,False,False
e08_query_a_mask_absent,e08,4,mask_absent,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,2.8750036763380082,2.8747625957379404,-0.7514094438985524,-0.7516505244986202,0.0002410806000678889,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_mask_present,e08,4,mask_present,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,2.8750036763380082,2.8747625957379404,-0.7514094438985524,-0.7516505244986202,0.0002410806000678889,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_merged,e08,4,merged,e08_reference_a,True,e08_reference_b,True,"[""e08_reference_b"",""e08_distractor_0"",""e08_distractor_1"",""e08_distractor_2"",""e08_distractor_3"",""e08_distractor_4""]",6,"[""e08_reference_b"",""e08_distractor_0"",""e08_distractor_1"",""e08_distractor_2"",""e08_distractor_3"",""e08_distractor_4""]",6,0.19532896675543743,0.19532896675543743,-3.431084153481123,-3.431084153481123,0.0,True,none,[],[],False,0,6,True,True,0,False,False,0,False,False,0,False,False,True,True
e08_query_a_substitute,e08,4,substitute,e08_reference_a,True,e08_reference_b,False,"[""e08_distractor_3""]",1,"[""e08_distractor_3""]",1,-0.2654208755846863,-0.2656619561847551,-3.891833995821247,-3.8920750764213157,0.00024108060006877707,False,none,[],[],False,0,0,False,False,1,True,True,0,False,False,0,False,False,True,True
e08_query_a_timing,e08,4,timing,e08_reference_a,True,e08_reference_b,True,"[""e08_reference_b""]",1,"[""e08_reference_b""]",1,6.008649825583331,-0.2655919649831686,2.38223670534677,-3.892005085219729,6.274241790566499,False,true_singleton,"[""e08_reference_a""]",[],False,0,0,False,False,0,False,False,1,True,True,0,False,False,False,False
